event_id,mt_id,time,velocity,equilibrium_density,number_of_ase1_gauss,number_of_ase1_exp,decay_lengthscale,movie id,condition,timepoint,event_nb
1nM_314,,2.5,,0.0057540000000000004,26.11399657437635,26.62637978194025,5.40114448618462,3.0,1nM,0,0
1nM_314,,5.0,312.869866107274,0.0057540000000000004,24.078353855608977,23.36958254243565,35.2396579229349,3.0,1nM,1,0
1nM_314,,7.5,224.140449159568,0.0057540000000000004,20.750293732356557,19.90953682369965,38.3403234630868,3.0,1nM,2,0
1nM_314,,10.0,347.618361142287,0.0057540000000000004,6.816948905837117,4.407755714514357,110.209130304946,3.0,1nM,3,0
1nM_314,,12.5,319.81929676276,0.0057540000000000004,16.2477900440693,14.655891632247785,58.7120039578286,3.0,1nM,4,0
1nM_314,,15.0,218.951720893925,0.0057540000000000004,16.745431441203483,12.678091612236877,184.993131095226,3.0,1nM,5,0
1nM_315,,2.5,,0.0057540000000000004,,,,3.0,1nM,0,1
1nM_315,,5.0,,0.0057540000000000004,15.93073961924624,13.538382337395673,112.266159558507,3.0,1nM,1,1
1nM_315,,7.5,375.927711065031,0.0057540000000000004,19.561513665364277,18.316612242839135,72.1669192767912,3.0,1nM,2,1
1nM_315,,10.0,353.678925461897,0.0057540000000000004,41.18803941734801,34.20214587466761,121.038168981027,3.0,1nM,3,1
1nM_315,,12.5,242.674001129445,0.0057540000000000004,29.371311155410975,25.75599479804109,128.732190850948,3.0,1nM,4,1
1nM_315,,15.0,228.011131022706,0.0057540000000000004,17.296740261715108,14.09730115659291,78.6827744349469,3.0,1nM,5,1
1nM_315,,17.5,210.960649680159,0.0057540000000000004,22.8641198038081,16.259538523179245,95.2985917562559,3.0,1nM,6,1
1nM_315,,20.0,223.990550563435,0.0057540000000000004,26.46338249238889,24.914140988187444,12.5989348085808,3.0,1nM,7,1
1nM_136,,2.5,,0.0057540000000000004,7.511379563705621,5.692081497756104,999.999999984412,3.0,1nM,0,2
1nM_136,,5.0,407.094009769808,0.0057540000000000004,12.820311017706494,11.358276079607627,308.641005083691,3.0,1nM,1,2
1nM_136,,7.5,159.651680750946,0.0057540000000000004,4.3192029635986495,4.318041252714574,5.33606380629326,3.0,1nM,2,2
1nM_317,,2.5,,0.0057540000000000004,12.348981967121487,12.21903371243436,5.28500228100809,3.0,1nM,0,3
1nM_317,,5.0,441.079021752063,0.0057540000000000004,24.646020512609812,25.180258663628624,250.298244951286,3.0,1nM,1,3
1nM_317,,7.5,381.678576234416,0.0057540000000000004,8.856524500371869,8.93596319782862,5.32651907373716,3.0,1nM,2,3
1nM_318,,2.5,,0.0057540000000000004,7.254707310769286,7.231021687544097,5.29744425512524,3.0,1nM,0,4
1nM_318,,5.0,387.440848436186,0.0057540000000000004,13.860948340147186,13.506147923033263,25.5071971186159,3.0,1nM,1,4
1nM_318,,7.5,384.653434837599,0.0057540000000000004,7.200901490969886,6.986819873246249,5.27364038320255,3.0,1nM,2,4
1nM_318,,10.0,203.076663541307,0.0057540000000000004,6.057438986731491,5.827333581194775,10.7405128732019,3.0,1nM,3,4
1nM_318,,12.5,394.248141299582,0.0057540000000000004,19.134329047896113,19.413380930973222,5.34763196776605,3.0,1nM,4,4
1nM_318,,15.0,356.418048017019,0.0057540000000000004,16.946211997483395,17.222311249974286,5.36579448802399,3.0,1nM,5,4
1nM_318,,17.5,236.932212584052,0.0057540000000000004,8.707020030354473,8.586079851610044,5.06235486590079,3.0,1nM,6,4
1nM_318,,20.0,312.519631381472,0.0057540000000000004,13.599918697479367,12.824071891338143,67.689002346935,3.0,1nM,7,4
1nM_318,,22.5,318.954309494867,0.0057540000000000004,26.054366059815003,25.985166683847005,5.28448686439476,3.0,1nM,8,4
1nM_318,,25.0,230.174294522815,0.0057540000000000004,26.594065957151212,25.50187354734865,48.4170044784394,3.0,1nM,9,4
1nM_318,,27.5,245.219698171692,0.0057540000000000004,44.828657920520165,46.11011791408702,201.389036252087,3.0,1nM,10,4
1nM_318,,30.0,196.174033128068,0.0057540000000000004,17.117536881906403,16.08865175421294,89.0304191882512,3.0,1nM,11,4
1nM_318,,32.5,250.957807463758,0.0057540000000000004,21.197183779413574,21.431948418461108,5.35524256920539,3.0,1nM,12,4
1nM_318,,35.0,232.579317136573,0.0057540000000000004,38.07253898756596,37.268583794833376,92.1776310347589,3.0,1nM,13,4
1nM_318,,37.5,187.829630003025,0.0057540000000000004,35.19183329323796,34.17440776409582,60.2968081931148,3.0,1nM,14,4
1nM_318,,40.0,185.65322204681,0.0057540000000000004,20.655504119086537,20.48589741037559,19.0872415046537,3.0,1nM,15,4
1nM_319,,2.5,,0.0057540000000000004,4.172458208583161,4.1213609647100515,5.28249909713002,3.0,1nM,0,5
1nM_319,,5.0,603.450636085162,0.0057540000000000004,25.524917437343728,15.51902249167175,342.478559068159,3.0,1nM,1,5
1nM_320,,2.5,,0.006850000000000001,4.770563617399367,3.4998009409572575,115.749242440169,4.0,1nM,0,6
1nM_320,,5.0,435.057199716942,0.006850000000000001,12.225897203414583,11.21179085471209,104.20688863771,4.0,1nM,1,6
1nM_320,,7.5,156.910459675364,0.006850000000000001,9.251754703495342,9.250679351251446,5.34568160129839,4.0,1nM,2,6
1nM_321,,2.5,,0.006850000000000001,3.9016586091989476,3.9120943750846413,5.35020080481019,4.0,1nM,0,7
1nM_321,,5.0,568.437112104668,0.006850000000000001,8.739968458800524,7.849406249300909,304.074306259264,4.0,1nM,1,7
1nM_321,,7.5,484.181982016764,0.006850000000000001,14.928361503377786,13.68179002232218,162.815958350329,4.0,1nM,2,7
1nM_322,,2.5,,0.006850000000000001,5.561206973769252,0.9601876577350927,5.01325696533406,4.0,1nM,0,8
1nM_322,,5.0,373.407352138981,0.006850000000000001,9.024027207144535,9.066797930238112,5.35286898446702,4.0,1nM,1,8
1nM_322,,7.5,420.026281220239,0.006850000000000001,14.003344650651977,12.995788690452455,122.583136947801,4.0,1nM,2,8
1nM_323,,2.5,,0.006850000000000001,29.967940533834632,29.819238640764798,5.28985621742206,4.0,1nM,0,9
1nM_323,,5.0,176.525120101277,0.006850000000000001,37.524392024350014,37.380740407553745,5.3960414066983,4.0,1nM,1,9
1nM_323,,7.5,165.635500973739,0.006850000000000001,33.14202183617928,32.755154098726976,5.36667467531821,4.0,1nM,2,9
1nM_324,,2.5,,0.006850000000000001,5.670959921799951,5.13715493832205,46.9929362050345,4.0,1nM,0,10
1nM_324,,5.0,444.377025269032,0.006850000000000001,11.349595535095288,9.799849789166657,127.030129974194,4.0,1nM,1,10
1nM_324,,7.5,381.320832433618,0.006850000000000001,11.227654318397784,10.978294597889493,22.221619919384,4.0,1nM,2,10
1nM_324,,10.0,355.464445576859,0.006850000000000001,16.77011551054848,16.467939072300883,5.32805453484481,4.0,1nM,3,10
1nM_324,,12.5,290.371933039607,0.006850000000000001,20.83503489299088,19.969989330340674,145.452551706162,4.0,1nM,4,10
1nM_324,,15.0,354.960316634967,0.006850000000000001,23.231392878947634,19.83493158207481,163.683023619993,4.0,1nM,5,10
1nM_324,,17.5,239.035723362733,0.006850000000000001,42.13463269089284,29.915422973005043,155.230257537063,4.0,1nM,6,10
1nM_324,,20.0,,0.006850000000000001,,,,4.0,1nM,7,10
1nM_324,,22.5,,0.006850000000000001,,,,4.0,1nM,8,10
1nM_324,,25.0,,0.006850000000000001,,,,4.0,1nM,9,10
1nM_324,,27.5,,0.006850000000000001,,,,4.0,1nM,10,10
1nM_324,,30.0,,0.006850000000000001,,,,4.0,1nM,11,10
1nM_325,,2.5,,0.006850000000000001,4.965363997953915,4.8708798379786105,5.26912392001033,4.0,1nM,0,11
1nM_325,,5.0,413.847795954586,0.006850000000000001,11.50987012581728,10.997289310542143,5.22511455230851,4.0,1nM,1,11
1nM_325,,7.5,271.864665037371,0.006850000000000001,24.698594885784313,20.208438178263076,69.8973644247406,4.0,1nM,2,11
1nM_325,,10.0,166.060388365679,0.006850000000000001,89.98209993934209,83.71922611311865,522.218554110132,4.0,1nM,3,11
1nM_326,,2.5,,0.008768000000000001,9.483577999569468,8.171085817568933,115.977082336128,2.0,1nM,0,12
1nM_326,,5.0,183.718837610048,0.008768000000000001,18.128682824517558,17.51639893265504,77.4638617419903,2.0,1nM,1,12
1nM_326,,7.5,79.4575812702697,0.008768000000000001,11.090060655689806,10.597493320291337,335.380475289038,2.0,1nM,2,12
1nM_327,,2.5,,0.008768000000000001,3.5963966434881702,3.401066384524587,5.22476282939127,2.0,1nM,0,13
1nM_327,,5.0,411.612854471139,0.008768000000000001,8.694610435100621,7.260841527665886,246.539314120015,2.0,1nM,1,13
1nM_327,,7.5,184.903860901612,0.008768000000000001,3.6347768435815944,1.9625197921031035,168.512100012189,2.0,1nM,2,13
1nM_327,,10.0,346.050993674377,0.008768000000000001,7.1659698945790895,3.515398579789262,301.977672067583,2.0,1nM,3,13
1nM_327,,12.5,305.691847913272,0.008768000000000001,10.328869566810123,10.348467026071738,5.30532189072408,2.0,1nM,4,13
1nM_327,,15.0,150.007137816222,0.008768000000000001,26.33725512145234,22.0565234554784,244.629767632055,2.0,1nM,5,13
1nM_327,,17.5,141.193615610326,0.008768000000000001,30.36138430328931,28.42073350546588,342.858884605669,2.0,1nM,6,13
1nM_328,,2.5,,0.008768000000000001,4.266259352144695,4.106264715194238,5.23020131927482,2.0,1nM,0,14
1nM_328,,5.0,401.185073432606,0.008768000000000001,14.51508930562065,13.64021483402558,34.3150971288584,2.0,1nM,1,14
1nM_328,,7.5,265.185163791772,0.008768000000000001,23.590886427667876,21.99247187776738,145.531594787493,2.0,1nM,2,14
1nM_328,,10.0,193.26822965159,0.008768000000000001,18.641068488362762,16.300967452627834,999.999999830652,2.0,1nM,3,14
1nM_329,,2.5,,0.008768000000000001,4.02785239828514,3.7137728715451943,5.21007981863081,2.0,1nM,0,15
1nM_329,,5.0,471.970263789938,0.008768000000000001,2.1146844608775908,1.2012237581023546,4.78636657514137,2.0,1nM,1,15
1nM_329,,7.5,439.497791849925,0.008768000000000001,5.323148544503987,4.28004524703938,123.242997022078,2.0,1nM,2,15
1nM_329,,10.0,211.660441293685,0.008768000000000001,4.063065491655231,3.7949855575446527,5.22134052778561,2.0,1nM,3,15
1nM_329,,12.5,187.874817769189,0.008768000000000001,7.331147274307125,4.944498823706437,207.299319155282,2.0,1nM,4,15
1nM_329,,15.0,337.596750795921,0.008768000000000001,7.2229560404143065,6.842522018004765,21.8015028734771,2.0,1nM,5,15
1nM_329,,17.5,357.870259510915,0.008768000000000001,14.365190800121894,11.912653085076519,281.813372836457,2.0,1nM,6,15
1nM_329,,20.0,220.477906550363,0.008768000000000001,8.832564137582976,6.8919957496619,183.338942624233,2.0,1nM,7,15
1nM_329,,22.5,263.101486953537,0.008768000000000001,9.264667466556478,4.5745464024453275,30.5633524989312,2.0,1nM,8,15
1nM_329,,25.0,321.443247434271,0.008768000000000001,17.85847885718084,9.217547197753301,999.999999927189,2.0,1nM,9,15
1nM_329,,27.5,162.872050331089,0.008768000000000001,14.756330719255704,12.172654348016676,125.540189747897,2.0,1nM,10,15
1nM_329,,30.0,319.121793275674,0.008768000000000001,21.65061317549334,19.722100285658488,260.629152317816,2.0,1nM,11,15
1nM_329,,32.5,142.338547277105,0.008768000000000001,10.133238476373467,7.824153021196084,168.607772513141,2.0,1nM,12,15
1nM_329,,35.0,186.288295057061,0.008768000000000001,21.55141468839701,20.139825714812844,75.5209943235787,2.0,1nM,13,15
1nM_330,,2.5,,0.008768000000000001,4.51661666223008,3.5378983050792545,78.2606253201236,2.0,1nM,0,16
1nM_330,,5.0,316.278793078225,0.008768000000000001,8.152132930770941,7.3928871232199125,144.1234876757,2.0,1nM,1,16
1nM_330,,7.5,184.269419685674,0.008768000000000001,11.393594027703127,10.983361975999923,5.24739706237487,2.0,1nM,2,16
1nM_331,,2.5,,0.008768000000000001,12.297292300706761,9.180095978916851,567.439576815982,2.0,1nM,0,17
1nM_331,,5.0,303.104462550088,0.008768000000000001,14.144752196551838,13.562602209087819,95.1197551138605,2.0,1nM,1,17
1nM_331,,7.5,276.825117866395,0.008768000000000001,22.172415625930775,19.666112473221972,189.917055010778,2.0,1nM,2,17
1nM_332,,2.5,,0.008768000000000001,4.174018445043151,4.064874017004231,5.16257212582538,2.0,1nM,0,18
1nM_333,,2.5,,0.008768000000000001,5.260049493658651,3.4052341846410616,237.769324886419,2.0,1nM,0,19
1nM_333,,5.0,292.246168077023,0.008768000000000001,9.962376705185948,9.857199411454076,239.689571376925,2.0,1nM,1,19
1nM_334,,2.5,,0.008768000000000001,17.066323068657194,13.670018951081301,378.556430531185,2.0,1nM,0,20
1nM_334,,5.0,,0.008768000000000001,,,,2.0,1nM,1,20
1nM_334,,7.5,389.237831876516,0.008768000000000001,9.101963831462802,8.943865740986686,196.085252114079,2.0,1nM,2,20
1nM_334,,10.0,326.185608232251,0.008768000000000001,3.9361612047621697,3.7611804427225577,5.25346637620594,2.0,1nM,3,20
1nM_334,,12.5,186.968486770342,0.008768000000000001,4.734884858622981,4.404730418556572,4.95565498560546,2.0,1nM,4,20
1nM_335,,2.5,,0.008768000000000001,16.367751317565872,12.961518835371036,675.848712060101,2.0,1nM,0,21
1nM_335,,5.0,311.727880473899,0.008768000000000001,16.541462036700164,14.71309120284858,85.5948239748801,2.0,1nM,1,21
1nM_335,,7.5,303.489415354894,0.008768000000000001,8.065491811553782,5.804194187830289,188.563147135197,2.0,1nM,2,21
1nM_335,,10.0,234.713371544846,0.008768000000000001,9.921934818994254,6.894651661168878,220.415203654749,2.0,1nM,3,21
1nM_335,,12.5,248.456932633604,0.008768000000000001,18.642511207842176,13.713533160772048,123.840799884549,2.0,1nM,4,21
1nM_335,,15.0,158.165756884934,0.008768000000000001,37.61948154587328,30.631206050340044,230.984831260751,2.0,1nM,5,21
1nM_335,,17.5,283.082811497289,0.008768000000000001,31.643331139056894,28.37588231255752,64.5444826931481,2.0,1nM,6,21
1nM_335,,20.0,231.132722746122,0.008768000000000001,32.15037761749506,25.693335116352802,278.435668554904,2.0,1nM,7,21
1nM_335,,22.5,152.594423084316,0.008768000000000001,23.738948285238205,21.654368457782677,75.0134285981637,2.0,1nM,8,21
1nM_335,,25.0,197.103337693812,0.008768000000000001,30.452787052482623,27.38610636389427,125.226449956434,2.0,1nM,9,21
1nM_335,,27.5,158.805414434052,0.008768000000000001,37.97951819936657,34.70436123624513,96.1365080993296,2.0,1nM,10,21
1nM_335,,30.0,112.725936698758,0.008768000000000001,34.390540051103144,31.394543074099676,142.304873389875,2.0,1nM,11,21
1nM_336,,2.5,,0.008768000000000001,25.687540715469144,23.41517594469752,117.165341917598,2.0,1nM,0,22
1nM_336,,5.0,247.244245110544,0.008768000000000001,28.251875572777184,26.544336897519475,109.149595910546,2.0,1nM,1,22
1nM_336,,7.5,283.676560655346,0.008768000000000001,10.162692933589579,8.488305653269663,44.896719294334,2.0,1nM,2,22
1nM_337,,2.5,,0.008768000000000001,13.23366534014643,11.560188004322166,84.575425353114,2.0,1nM,0,23
1nM_337,,5.0,261.348183302432,0.008768000000000001,25.494364691930574,21.004942963388487,123.072360129399,2.0,1nM,1,23
1nM_337,,7.5,164.194330710972,0.008768000000000001,15.283891350686753,15.10181971955845,5.36506868916992,2.0,1nM,2,23
1nM_337,,10.0,267.519476068744,0.008768000000000001,35.608627478043985,29.612520854518895,195.597281619423,2.0,1nM,3,23
1nM_337,,12.5,170.15279430089,0.008768000000000001,66.10912522812917,63.260754748259856,77.2184490995755,2.0,1nM,4,23
1nM_337,,15.0,157.574977787801,0.008768000000000001,54.50083941236433,53.92806429532967,7.79647616202805,2.0,1nM,5,23
1nM_338,,2.5,,0.008768000000000001,13.452945005276367,13.305739575283903,5.27657301125467,2.0,1nM,0,24
1nM_338,,5.0,331.742211773767,0.008768000000000001,12.549314234825685,7.880520719217253,92.1635249314944,2.0,1nM,1,24
1nM_338,,7.5,319.843636674239,0.008768000000000001,37.80880126978033,37.50779047586445,9.40554010852956,2.0,1nM,2,24
1nM_338,,10.0,235.753860451072,0.008768000000000001,50.88197676632829,48.852226592240875,26.7815529387603,2.0,1nM,3,24
1nM_338,,12.5,112.231636329416,0.008768000000000001,55.44494568241779,54.80539194804637,5.33686968813285,2.0,1nM,4,24
1nM_339,,2.5,,0.008768000000000001,3.0543292720620636,3.0010739474401835,5.05413629639601,2.0,1nM,0,25
1nM_339,,5.0,379.91953058191,0.008768000000000001,20.418652633701342,18.018874680289986,181.294659702966,2.0,1nM,1,25
1nM_339,,7.5,260.746175569184,0.008768000000000001,8.212248572238758,7.903204260180536,30.4907553619389,2.0,1nM,2,25
1nM_339,,10.0,231.678143740285,0.008768000000000001,15.613238229169792,10.869382821829717,288.351366656416,2.0,1nM,3,25
1nM_339,,12.5,320.346946124846,0.008768000000000001,9.920747541695409,8.212880516401158,999.999999963573,2.0,1nM,4,25
1nM_340,,2.5,,0.008768000000000001,15.76692236593785,12.061346788293616,168.377249613865,2.0,1nM,0,26
1nM_340,,5.0,223.4311831418,0.008768000000000001,17.557447016389137,15.294755972587186,183.553587555622,2.0,1nM,1,26
1nM_340,,7.5,183.469530832073,0.008768000000000001,13.394594340081568,12.201478656356338,41.3710316820028,2.0,1nM,2,26
1nM_340,,10.0,177.981803108565,0.008768000000000001,22.416200882873074,19.982286242718544,334.981928353515,2.0,1nM,3,26
1nM_341,,2.5,,0.008768000000000001,11.938745659093351,10.553797383805426,113.532739825352,2.0,1nM,0,27
1nM_341,,5.0,245.559528906528,0.008768000000000001,11.146932602421705,10.14368171469696,41.4246927431244,2.0,1nM,1,27
1nM_341,,7.5,185.811596143365,0.008768000000000001,15.786941375780279,11.61674274712608,999.999999627496,2.0,1nM,2,27
1nM_342,,2.5,,0.008768000000000001,,,,2.0,1nM,0,28
1nM_342,,5.0,,0.008768000000000001,12.827398741244581,5.839781443803173,211.199928580985,2.0,1nM,1,28
1nM_342,,7.5,328.439906894463,0.008768000000000001,11.855003638549976,9.88629488389308,249.276941365042,2.0,1nM,2,28
1nM_342,,10.0,272.490727490895,0.008768000000000001,9.520182549445709,7.532456096799418,194.336981533382,2.0,1nM,3,28
1nM_342,,12.5,256.836567255378,0.008768000000000001,8.370932916555875,8.189633182316994,8.88115210494916,2.0,1nM,4,28
1nM_342,,15.0,255.707005863039,0.008768000000000001,20.214716405818127,14.568869410089459,236.354732264344,2.0,1nM,5,28
1nM_342,,17.5,146.884252943999,0.008768000000000001,25.965707960948706,14.907027335896743,999.9999993433,2.0,1nM,6,28
1nM_341,,10.0,,0.008768000000000001,4.22605336312247,4.287900281512943,5.33135220686098,2.0,1nM,3,27
1nM_341,,12.5,378.547286674366,0.008768000000000001,6.272940321099336,6.0134806396868745,5.00646277768419,2.0,1nM,4,27
1nM_341,,15.0,408.513677680814,0.008768000000000001,11.048348181724753,8.157288769742708,157.448738768493,2.0,1nM,5,27
1nM_341,,17.5,358.058177442311,0.008768000000000001,8.799553672384418,8.258449783478794,152.222967914799,2.0,1nM,6,27
1nM_341,,20.0,281.509799998291,0.008768000000000001,7.042196376998066,6.062842068181254,61.9323639298158,2.0,1nM,7,27
1nM_341,,22.5,454.380083072813,0.008768000000000001,10.504019726564032,8.902281999105746,32.8097399256444,2.0,1nM,8,27
1nM_341,,25.0,65.1341755976613,0.008768000000000001,14.032516185914035,9.23006632652174,141.662948814812,2.0,1nM,9,27
1nM_341,,27.5,289.81985140824,0.008768000000000001,25.344277868450447,18.474098033042633,117.436508447189,2.0,1nM,10,27
1nM_341,,30.0,292.147728807941,0.008768000000000001,79.06510104623104,65.98872620552065,999.999999958033,2.0,1nM,11,27
1nM_342,,20.0,,0.008768000000000001,20.794494980961968,17.167519207936987,163.298774887394,2.0,1nM,7,28
1nM_342,,22.5,309.236927371248,0.008768000000000001,25.063844145168538,18.231021683335825,138.47671106543,2.0,1nM,8,28
1nM_342,,25.0,235.418911372387,0.008768000000000001,22.812364999583398,18.211520486415402,56.8224012449016,2.0,1nM,9,28
1nM_342,,27.5,161.617429372262,0.008768000000000001,22.015967479991243,10.461406562680883,201.183467851362,2.0,1nM,10,28
1nM_343,,2.5,,0.008768000000000001,9.292840184024717,7.364493725819558,69.9433225827676,2.0,1nM,0,29
1nM_343,,5.0,269.083713329516,0.008768000000000001,17.434762873114323,15.763727848767935,75.5693558501169,2.0,1nM,1,29
1nM_345,,2.5,,0.008768000000000001,12.439314817907986,10.245383071953828,173.684798160492,2.0,1nM,0,30
1nM_345,,5.0,296.017263072931,0.008768000000000001,5.68487532875156,3.821973941296185,84.1248649919761,2.0,1nM,1,30
